repeat,offset,model,n_rows,n_positive,prevalence,roc_auc,average_precision,brier,prevalence_baseline_brier,brier_skill_score
1,2,random_forest,2033,22,0.0108214461387112,0.7168979702545093,0.022697067175445,0.0106595187059218,0.010706476945081464,0.004385965560896876
1,2,xgboost,2033,22,0.0108214461387112,0.7312734505673342,0.0251955982582933,0.0106544314090143,0.010706476945081464,0.004861126244807612
1,3,logistic,2044,27,0.0132093933463796,0.3356102756201913,0.0093561425380939,0.0130768170467422,0.013065868491690532,-0.0008379508073750319
1,3,random_forest,2044,27,0.0132093933463796,0.3952147487100387,0.010432966680281,0.0130707556946524,0.013065868491690532,-0.00037404348321556924
1,3,xgboost,2044,27,0.0132093933463796,0.4545254227951302,0.0114324716182258,0.01306640009071,0.013065868491690532,-4.068608373075655e-05
1,4,logistic,2053,26,0.0126643935703848,0.4362453037835376,0.0140389321429927,0.0125287171918643,0.01251310789559665,-0.00124743560096241
1,4,random_forest,2053,26,0.0126643935703848,0.4079921065614208,0.0221963316651787,0.0125127131338502,0.01251310789559665,3.154785763404e-05
1,4,xgboost,2053,26,0.0126643935703848,0.5216310576448712,0.0259440795127707,0.0125033611799842,0.01251310789559665,0.0007789204483626966
1,5,logistic,2050,24,0.0117073170731707,0.2911113853241197,0.0078976617155893,0.0116310416995546,0.011608682411642422,-0.0019260831780318899
1,5,random_forest,2050,24,0.0117073170731707,0.2868747943402435,0.0078764621845423,0.0116365002532423,0.011608682411642422,-0.00239629620429449
1,5,xgboost,2050,24,0.0117073170731707,0.3086335965778216,0.0082385902314124,0.0116414367995181,0.011608682411642422,-0.0028215422486559394
1,6,logistic,2045,26,0.0127139364303178,0.6486646092886805,0.0230155565306606,0.0125208742466421,0.012567293154631575,0.0036936281678420224
1,6,random_forest,2045,26,0.0127139364303178,0.5963919686059359,0.0225927675697942,0.0125390701768531,0.012567293154631575,0.002245748343037146
1,6,xgboost,2045,26,0.0127139364303178,0.5074103707090334,0.0158906729493503,0.0125954987570389,0.012567293154631575,-0.0022443657564341635
1,7,logistic,2027,25,0.0123334977799704,0.517002997002997,0.013279745729772,0.0122008682440357,0.012216218378882421,0.0012565373645625488
1,7,random_forest,2027,25,0.0123334977799704,0.4418581418581418,0.0154659935318287,0.0122134637085612,0.012216218378882421,0.0002254928846051607
1,7,xgboost,2027,25,0.0123334977799704,0.4282517482517483,0.0123606791349854,0.0122876144684039,0.012216218378882421,-0.005844369125301174
1,8,logistic,2060,48,0.0233009708737864,0.5146154324055666,0.02532889243269,0.0227662542818787,0.02276219498114616,-0.00017833520606869158
1,8,random_forest,2060,48,0.0233009708737864,0.4057167412193506,0.0186567531085274,0.0228092384951665,0.02276219498114616,-0.002066738908936827
1,8,xgboost,2060,48,0.0233009708737864,0.4386804174950298,0.0197989394908352,0.0228111387752406,0.02276219498114616,-0.0021502229523548966
1,9,logistic,2041,25,0.012248897599216,0.4487103174603174,0.0144110541581909,0.0121485033745695,0.012115180342774666,-0.00275051884099331
1,9,random_forest,2041,25,0.012248897599216,0.366984126984127,0.0097712254177258,0.0121334126617021,0.012115180342774666,-0.0015049151900003999
1,9,xgboost,2041,25,0.012248897599216,0.3580555555555555,0.0090311322222137,0.0121844007670868,0.012115180342774666,-0.005713528181478189
1,10,logistic,2039,27,0.013241785188818,0.6525292688314557,0.0396192611055255,0.0130047744407137,0.013101665234171542,0.007395303705755918
1,10,random_forest,2039,27,0.013241785188818,0.7050106766806568,0.0298588729894561,0.0130368438941186,0.013101665234171542,0.00494756497699822
1,10,xgboost,2039,27,0.013241785188818,0.7264560783447463,0.0325463535164775,0.01306961975284,0.013101665234171542,0.0024459090320795296
1,11,logistic,2033,14,0.0068863748155435,0.3408688884171796,0.0051693716964188,0.0068557719438043,0.006854026027406463,-0.0002547285917584574
1,11,random_forest,2033,14,0.0068863748155435,0.4062477888629449,0.005744793649329,0.0068567549698998,0.006854026027406463,-0.0003981517552493763
1,11,xgboost,2033,14,0.0068863748155435,0.2473289464374159,0.0044958726538226,0.0068694551961059,0.006854026027406463,-0.0022511103164390978
1,12,logistic,2038,21,0.0103042198233562,0.5491654272021153,0.011820564180782,0.0102089585067844,0.010212366596676669,0.00033372185183577763
1,12,random_forest,2038,21,0.0103042198233562,0.6037136718842222,0.0162783719588607,0.0101877394009513,0.010212366596676669,0.0024115072145357574
1,12,xgboost,2038,21,0.0103042198233562,0.5002242840616664,0.0132367761149782,0.0102133719738369,0.010212366596676669,-9.8447029952764e-05
1,13,logistic,2033,15,0.0073782587309394,0.494813346547737,0.0089412148738099,0.0073291858323304,0.007327885937998969,-0.00017739008800488065
1,13,random_forest,2033,15,0.0073782587309394,0.565609514370664,0.0089308219037332,0.0073264726928104,0.007327885937998969,0.0001928585134276517
1,13,xgboost,2033,15,0.0073782587309394,0.4078956062107697,0.0073552389369369,0.0073370259060731,0.007327885937998969,-0.0012472857999514808
1,14,logistic,2036,29,0.0142436149312377,0.6277511468481006,0.0269113482418482,0.014012924597721,0.014045388716794345,0.0023113720615312028
1,14,random_forest,2036,29,0.0142436149312377,0.5464666769754137,0.0259011070334323,0.0140188742214788,0.014045388716794345,0.001887772268192367
1,14,xgboost,2036,29,0.0142436149312377,0.6026321667268011,0.0282638996689597,0.0140037835451612,0.014045388716794345,0.0029621943879273305
1,15,logistic,2046,47,0.02297165200391,0.5432716358179089,0.0308171786569598,0.0224622463591747,0.02252294844935848,0.0026951218363023832
1,15,random_forest,2046,47,0.02297165200391,0.5561929901120772,0.0255783046158155,0.0225458050112229,0.02252294844935848,-0.0010148121555138
1,15,xgboost,2046,47,0.02297165200391,0.5208561727672347,0.0243110712676278,0.0225464837002529,0.02252294844935848,-0.0010449453785918994
