model,repeat_a,fold_a,repeat_b,fold_b,spearman_rank_correlation,top10_overlap,top10_jaccard
xgboost,1,1,2,3,0.4622273249138922,6,0.42857142857142855
xgboost,1,1,2,4,0.4008976098528338,6,0.42857142857142855
xgboost,1,2,1,3,0.3960964408725604,5,0.3333333333333333
xgboost,1,2,1,4,0.2748564867967853,4,0.25
xgboost,1,2,2,0,0.44502661517586894,5,0.3333333333333333
xgboost,1,2,2,1,0.34036113140590757,3,0.17647058823529413
xgboost,1,2,2,2,0.4132554013151029,6,0.42857142857142855
xgboost,1,2,2,3,0.35497338482413116,5,0.3333333333333333
xgboost,1,2,2,4,0.3229516751904812,4,0.25
xgboost,1,3,1,4,0.4679887276902204,8,0.6666666666666666
xgboost,1,3,2,0,0.4686567164179105,6,0.42857142857142855
xgboost,1,3,2,1,0.45897087986640234,7,0.5384615384615384
xgboost,1,3,2,2,0.530320425842814,7,0.5384615384615384
xgboost,1,3,2,3,0.48239223463104064,8,0.6666666666666666
xgboost,1,3,2,4,0.26913683331593785,5,0.3333333333333333
xgboost,1,4,2,0,0.5068990710781756,6,0.42857142857142855
xgboost,1,4,2,1,0.5528232961068783,7,0.5384615384615384
xgboost,1,4,2,2,0.49800647114079954,6,0.42857142857142855
xgboost,1,4,2,3,0.5515708172424592,7,0.5384615384615384
xgboost,1,4,2,4,0.34466130884041335,6,0.42857142857142855
xgboost,2,0,2,1,0.4070347562884877,4,0.25
xgboost,2,0,2,2,0.41104268865462906,5,0.3333333333333333
xgboost,2,0,2,3,0.42006053647844704,6,0.42857142857142855
xgboost,2,0,2,4,0.3052499739066904,4,0.25
xgboost,2,1,2,2,0.42373447448074325,5,0.3333333333333333
xgboost,2,1,2,3,0.5815468113975577,7,0.5384615384615384
xgboost,2,1,2,4,0.34662352572800337,6,0.42857142857142855
xgboost,2,2,2,3,0.5011794175973282,7,0.5384615384615384
xgboost,2,2,2,4,0.3857843648888426,6,0.42857142857142855
xgboost,2,3,2,4,0.4053647844692621,7,0.5384615384615384
